Category,Name,Price,Stars,Subcategory,Best Seller
Eyes,Chroma Zone Multichrome Gel Liner-On A Trip,$4.99,5.0,Eyeliner,0
Eyes,Enigma Sparkly Eyeshadow-Such A Prize,$2.99,0.0,Eyeshadow,0
Eyes,Boss Brow Waterproof Pomade-Soft Brown,$5.49,5.0,Eyebrow,0
Eyes,Hello Kitty｜SHEGLAM Darling Dear Shadow Stack-Sweetheart,$5.49,5.0,Eyeshadow Palette,0
Eyes,Better Brows Long Lasting Eyebrow Pencil-Taupe,$3.49,5.0,Eyebrow,0
Eyes,Cloud Nine Palette,$7.99,5.0,Eyeshadow Palette,0
Eyes,Harley Quinn X SHEGLAM Mad Love Color Palette,$8.49,0.0,Eyeshadow Palette,0
Eyes,Smart Cookie Palette,$9.49,0.0,Eyeshadow Palette,0
Eyes,Rosé Line & Define Waterproof Liquid Eyeliner-Black,$5.49,0.0,Eyeliner,0
Eyes,When In Rome Palette,$14.99,4.7,Eyeshadow Palette,0
Eyes,Good Point Waterproof Angled Eyeliner Pencil,$3.99,0.0,Eyeliner,0
Eyes,Crystal Flutter Glitter Gel-Instar,$4.99,0.0,Eyeshadow,0
Eyes,Hi Brow Shaping Wax,$4.49,4.3,Eyebrow,0
Eyes,Line & Define Waterproof Liquid Eyeliner-Brown,$5.49,4.9,Eyeliner,0
Eyes,Marilyn Monroe X SHEGLAM Day Dreamer Face & Eye Palette,$12.99,0.0,Eyeshadow Palette,0
Eyes,All Eyes On You Eyelash Glue Liner-Black,$4.49,4.8,Eyeliner,0
Eyes,Full-Filled Eyebrow Palette-101 Dark Brown,$5.99,4.7,Eyeshadow Palette,0
Eyes,Vinyl Pop Color Palette-Color Me Crazy,$6.29,5.0,Eyeshadow Palette,0
Eyes,Hello Kitty｜SHEGLAM Make Waves Waterproof Eyeliner-Black Sand,$4.49,0.0,Eyeliner,0
Eyes,On Fleek Long Lasting Liquid Eyeliner-Black,$4.49,4.8,Eyeliner,0
Eyes,Do It All 2-In-1 Eyeliner,$4.99,4.6,Eyeliner,0
Eyes,Color Crush Liquid Eyeliner-Now Streaming,$3.99,4.6,Eyeliner,0
Eyes,Essential Square Eyeshadow Quad-Veil,$3.99,0.0,Eyeshadow,0
Eyes,Chill Track Palette,$9.49,5.0,Eyeshadow Palette,0
Eyes,Smart Cookie Shadow Stack,$5.49,0.0,Eyeshadow Palette,0
Eyes,Brow-Fection Angled Brush & Dip-Latte,$4.99,4.6,Eyebrow,0
Eyes,Hold 'Em Up Tinted Brow Gel-Taupe,$4.99,5.0,Eyebrow,0
Eyes,Stay Wild Jelly Glitter-Peacock,$4.99,5.0,Eyeshadow,0
Eyes,Harry Potter™ X SHEGLAM Houses Of Hogwarts Glitter Liner,$4.99,0.0,Eyeliner,0
Eyes,Ember Rose Burning Devotion Color Palette,$5.99,4.5,Eyeshadow Palette,0
Eyes,Gleam Chaser Eyeshadow Topper-Frosting,$3.99,0.0,Eyeshadow,0
Eyes,Welcome To Our Playground Merry-Go-Round Water-Activated Shadow Palette,$9.99,4.9,Eyeshadow Palette,0
Eyes,Cosmic Crystal Eyeshadow Quad-Higher Self,$4.99,5.0,Eyeshadow,0
Eyes,Stay Wild Jelly Glitter-Icy,$4.49,4.9,Eyeshadow,0
Eyes,Eye Candy Palette,$7.99,5.0,Eyeshadow Palette,0
Eyes,Ghostly Glitter Gel-Tears To Shed,$3.99,4.5,Eyeshadow,0
Eyes,Harry Potter™ X SHEGLAM Hogwarts Houses Palette Set,$29.99,4.8,Eyeshadow Palette,0
Eyes,Chroma Zone Multichrome Flake Gel-Mayhem Mothership,$8.99,5.0,Eyeshadow,0
Eyes,Beach Sunset Palette,$7.99,4.8,Eyeshadow Palette,0
Eyes,"Zen Out, Shangri-La Palette",$9.49,4.8,Eyeshadow Palette,0
Eyes,Mauve-Olous Palette,$9.49,4.9,Eyeshadow Palette,0
Eyes,Glitz Wiz Palette-Ecstasy,$14.49,5.0,Eyeshadow Palette,0
Eyes,Feather Better Liquid Eyebrow Pencil-Taupe,$3.49,4.6,Eyebrow,0
Eyes,Rick and Morty X SHEGLAM The Meaning(Lessness) Of Life Palette,$14.99,5.0,Eyeshadow Palette,0
Eyes,Harry Potter™ X SHEGLAM Houses Of Hogwarts Glitter Liner Set,$20.99,0.0,Eyeliner,0
Eyes,Harry Potter™ X SHEGLAM Hufflepuff™ House Palette,$7.49,5.0,Eyeshadow Palette,0
Eyes,Insta-Fill Brow Pencil-Blonde,$3.49,4.7,Eyebrow,0
Eyes,Harley Quinn X SHEGLAM Clowning Around Under Eye Patches,$5.99,0.0,Eye Primer,0
Eyes,Silk & Sparkle Double Ended Liquid Eyeshadow-Taupe,$4.49,0.0,Eyeshadow,0
Eyes,Major Beam Blast Eyeshadow,$5.99,5.0,Eyeshadow,0
Eyes,Nine To Fine Eyeshadow Palette-Nomadic,$6.99,5.0,Eyeshadow,0
Eyes,Real Flow Laminating Brow Pen-Blonde,$4.99,0.0,Eyebrow,0
Eyes,Hello Kitty｜SHEGLAM Fun In The Sun Color Palette,$11.49,1.0,Eyeshadow Palette,0
Eyes,Frida Kahlo X SHEGLAM Brow Icon Liquid Brow Pen-Taupe,$3.49,4.9,Eyebrow,0
Eyes,Striking Brow Gel-Red-Brown,$4.99,5.0,Eyebrow,0
Eyes,Lots To Lava Palette,$7.99,5.0,Eyeshadow Palette,0
Eyes,Care Bears X SHEGLAM Sweet Wishes Colored Eyeliner-True Heart,$4.99,5.0,Eyeliner,0
Eyes,Silk & Sparkle Double Ended Liquid Eyeshadow-Rose,$4.49,0.0,Eyeshadow,0
Eyes,Viva La Leopard Palette,$9.49,4.7,Eyeshadow Palette,0
Eyes,Adventurous Aries Palette,$7.49,5.0,Eyeshadow Palette,0
Eyes,Dual-Ended Fine Eyebrow Pencil-Coffee,$2.79,4.7,Eyebrow,1
Eyes,Chroma Zone Multichrome Liquid Eyeshadow-Opal Essence,$6.99,4.8,Eyeshadow,0
Eyes,Alien Mood Palette,$9.89,5.0,Eyeshadow Palette,0
Eyes,Care Bears X SHEGLAM Share Your Care Palette,$13.49,4.8,Eyeshadow Palette,0
Eyes,Milky Way Eyeliner Pencil-Dark Matter,$3.59,4.5,Eyeliner,0
Eyes,Artistry Palette - Bejewelled,$8.99,4.3,Eyeshadow Palette,0
Eyes,Frida Kahlo X SHEGLAM Masterpiece Eyeshadow Palette,$7.59,5.0,Eyeshadow,0
Eyes,Chroma Zone Multichrome Gel Liner-Subliminal,$4.49,4.9,Eyeliner,0
Eyes,Brow Raising Wax Stick-Universal,$3.99,4.3,Eyebrow,0
Lips,Hydra Jelly Pocket Lip Jam-Sugar Swirl,$5.99,4.9,Lip Gloss,1
Lips,So Lippy Lip Liner Set-Au Naturel,$7.99,4.6,Lip Liner,1
Lips,Lip Dazzler Glitter Kit-Center Stage,$6.99,3.8,Lip Kit,1
Lips,Crystal Glaze Moisturizing Lip Care-Candy Lane,$5.99,5.0,Lip Gloss,1
Lips,Bold Booster Lip Plumper-Blush Drizzle,$4.99,4.9,Lip Plumper,1
Lips,Pillow Lips Lip Care Cream,$4.99,4.8,Lip Gloss,1
Lips,The Powerpuff Girls X SHEGLAM Super Trio Lip Gloss-Blossom,$5.49,4.3,Lip Gloss,1
Lips,Harry Potter™ X SHEGLAM Magic Cauldron Lip Mask,$5.99,4.8,Lip Gloss,1
Lips,Love Stained Lip Tint Marker-Bright Side,$4.99,4.9,Lip Liner,1
Lips,Crystal Glaze Moisturizing Lip Care Set,$23.99,5.0,Lip Gloss,0
Lips,Mirror Kiss High-Shine Lipstick-Rule Breaker,$6.99,4.7,Lipstick,1
Lips,Booster Shine Plumping Lip Gloss-Own Your Shine,$5.99,0.0,Lip Gloss,1
Lips,For The Flush Lip & Cheek Tint-Fruit Punch,$4.99,4.7,Lip Tint,1
Lips,Harry Potter™ X SHEGLAM Gifted Herbologist Glitter Lipstick,$5.99,4.9,Lipstick,1
Lips,Good Times Roll Ball Lip Oil-Life's A Party,$4.99,4.8,Lip Gloss,1
Lips,Cocoa Yum Lip Balm,$5.99,4.8,Lip Balm,0
Lips,Pout-Perfect Shimmer Lip Plumper-Sugar Crystal,$6.49,4.9,Lip Plumper,1
Lips,Jelly Wow Hydrating Lip Oil-Loco For Coco,$4.99,4.7,Lip Gloss,1
Lips,Harry Potter™ X SHEGLAM Bewitching Brews Lip Gloss Set,$19.99,4.8,Lip Gloss,1
Lips,Jelly Wow Hydrating Lip Oil-Pinkies Up,$5.99,4.5,Lip Gloss,0
Lips,Peel Talk Lip Tint-Celeb Crush,$4.99,4.8,Lip Tint,0
Lips,Bold Booster Plumping Lip Liner-Pink Slip,$3.99,5.0,Lip Liner,1
Lips,"Marilyn Monroe X SHEGLAM The Icon Lipstick-XOXO, Marilyn",$6.99,5.0,Lipstick,0
Lips,Phantom's Kiss Lip Gloss Palette,$6.99,0.0,Lip Gloss,0
Lips,Adventure Time | SHEGLAM Heroes Only Shimmery Lip Gloss-Peebles,$6.49,0.0,Lip Gloss,0
Lips,Harry Potter™ X SHEGLAM Quidditch Champion Lip Set,$17.99,5.0,Lipstick,0
Lips,Creme Allure Lipstick - Nude,$5.49,4.8,Lipstick,0
Lips,Rick and Morty X SHEGLAM Family Counseling Lip Gloss-Rick,$6.49,4.7,Lip Gloss,0
Lips,Pout PHresh Color Changing Lipstick-Avocado,$3.99,5.0,Lipstick,0
Lips,Pout Pillow Cushion Lip Gloss-Sweet Dreamz,$5.49,5.0,Lip Gloss,0
Lips,Hello Kitty｜SHEGLAM Poolside Perfection Lip Glaze-Pink Lemonade,$5.99,5.0,Lip Kit,0
Lips,Take A Hint Lip Tint-Memories,$5.99,4.5,Lip Tint,0
Lips,Pout-Perfect Shine Lip Plumper-Makin' Me Blush,$5.99,4.8,Lip Plumper,0
Lips,Harley Quinn X SHEGLAM Thrill Seeker Color-Changing Lipstick-Gotham,$5.99,5.0,Lipstick,0
Lips,Onyx Kaleidoscope Lipstick,$5.99,0.0,Lipstick,0
Lips,Mello Jello Nourishing Lip Balm-Pink Topaz,$5.99,4.3,Lip Balm,0
Lips,Matte Allure Lipstick - Chic,$5.49,4.9,Lipstick,0
Lips,Soft Haze Lip Blur-Play Date,$5.99,4.9,Lip Gloss,0
Lips,Glam 101 Sheer Tinted Lipstick & Liner Duo-Blueberry Jam,$5.49,4.0,Lipstick,0
Lips,Hot Goss Plumping Lip Gloss-That's Juicy!,$4.99,4.6,Lip Gloss,0
Lips,Starlight Velvet Lipstick - Magical D-Light,$4.99,4.8,Lipstick,0
Lips,Hello Kitty｜SHEGLAM Be My Baby Hydrating Lipstick-Smitten Kitten,$5.99,0.0,Lipstick,0
Lips,Cocoa Kiss Lip Duo-Cookies N' Milk,$7.49,4.9,Lip Liner,0
Lips,Harry Potter™ X SHEGLAM Magic Elixir Lip Gloss-Draught Of Living Death™,$4.99,4.7,Lip Gloss,0
Lips,Glam 101 Lipstick & Liner Duo - Praline Pie,$5.49,4.7,Lipstick,0
Lips,Rick and Morty X SHEGLAM Family Counseling Lip Gloss Set,$35.99,5.0,Lip Gloss,0
Lips,Harley Quinn X SHEGLAM Villainous Misfits Lip Jam Set,$13.99,0.0,Lip Gloss,0
Lips,So Lippy Lip Liner-Ture Faith,$2.99,4.8,Lip Liner,0
Lips,Glaze Daze Lip Gloss-Rose Tea,$4.99,4.4,Lip Gloss,0
Lips,Dynamatte Boom Long-Lasting Matte Lipstick-Rule Breaker,$6.99,4.6,Lipstick,0
Lips,Lip Facts Lip Liner-True Faith,$2.99,5.0,Lip Liner,0
Lips,Hello Kitty｜SHEGLAM Poolside Perfection Lip Glaze Set,$22.99,0.0,Lip Kit,0
Lips,Jelly Wow Hydrating Lip Oil-Loco For Coco,$4.99,5.0,Lip Gloss,1
Lips,Ember Rose Immortal Love Nourishing Lip Gloss Set,$23.99,0.0,Lip Gloss,0
Lips,Dynamatte Boom Long-Lasting Matte Lipstick (Ember Rose Set),$27.99,4.0,Lipstick,0
Lips,Spring It On Glow Gloss-See It Through,$4.99,4.1,Lip Gloss,0
Lips,Soft 90's Glam Lip Liner And Lip Duo Set-Pouty Nude,$7.49,4.2,Lip Gloss,0
Lips,Dynamatte Boom Long-Lasting Matte Lipstick (Ember Rose Ver.)-Bliss,$6.99,0.0,Lipstick,0
